Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"Categoria.java",1,9,1,0
File,"CategoriaDAO.java",2,27,1,2
File,"Categorias.java",1,18,1,1
File,"Compra.java",1,18,1,0
File,"CompraDAO.java",3,24,1,3
File,"Compras.java",1,20,1,2
File,"ConnectionFactory.java",2,11,1,2
Package,"DAO",2,157,1,3
Public Class,"DAO.CategoriaDAO",2,27,1,2
Public Method,"DAO.CategoriaDAO.add",,2,,1
Public Method,"DAO.CategoriaDAO.del",,2,,1
Public Method,"DAO.CategoriaDAO.idAutoIncrement",,3,,2
Public Method,"DAO.CategoriaDAO.listAll",,3,,2
Public Method,"DAO.CategoriaDAO.listAllById",,3,,2
Public Method,"DAO.CategoriaDAO.listAllByName",,3,,2
Public Method,"DAO.CategoriaDAO.read",,3,,2
Public Method,"DAO.CategoriaDAO.read",,3,,2
Public Method,"DAO.CategoriaDAO.read",,3,,2
Public Method,"DAO.CategoriaDAO.up",,2,,1
Public Class,"DAO.CompraDAO",3,24,1,3
Public Method,"DAO.CompraDAO.comprar",,5,,3
Public Method,"DAO.CompraDAO.del",,1,,0
Public Method,"DAO.CompraDAO.getIdCompra",,2,,1
Public Method,"DAO.CompraDAO.listAll",,3,,2
Public Method,"DAO.CompraDAO.listProdsCompra",,3,,2
Public Method,"DAO.CompraDAO.read",,4,,2
Public Method,"DAO.CompraDAO.read",,4,,2
Public Method,"DAO.CompraDAO.up",,2,,1
Public Class,"DAO.FornecedorDAO",2,21,1,2
Public Method,"DAO.FornecedorDAO.add",,2,,1
Public Method,"DAO.FornecedorDAO.del",,2,,1
Public Method,"DAO.FornecedorDAO.idAutoIncrement",,3,,2
Public Method,"DAO.FornecedorDAO.listAll",,3,,2
Public Method,"DAO.FornecedorDAO.listAllById",,3,,2
Public Method,"DAO.FornecedorDAO.listAllByName",,3,,2
Public Method,"DAO.FornecedorDAO.read",,3,,2
Public Method,"DAO.FornecedorDAO.up",,2,,1
Public Class,"DAO.ProdutoDAO",2,36,1,2
Public Method,"DAO.ProdutoDAO.add",,2,,1
Public Method,"DAO.ProdutoDAO.del",,2,,1
Public Method,"DAO.ProdutoDAO.idAutoIncrement",,3,,2
Public Method,"DAO.ProdutoDAO.listAll",,3,,2
Public Method,"DAO.ProdutoDAO.listAllByCategoria",,3,,2
Public Method,"DAO.ProdutoDAO.listAllByForn",,3,,2
Public Method,"DAO.ProdutoDAO.listAllById",,3,,2
Public Method,"DAO.ProdutoDAO.listAllByName",,3,,2
Public Method,"DAO.ProdutoDAO.listFill",,3,,2
Public Method,"DAO.ProdutoDAO.read",,3,,2
Public Method,"DAO.ProdutoDAO.read",,3,,2
Public Method,"DAO.ProdutoDAO.readAll",,3,,2
Public Method,"DAO.ProdutoDAO.up",,2,,1
Public Class,"DAO.UsuarioDAO",2,33,1,2
Public Method,"DAO.UsuarioDAO.add",,2,,1
Public Method,"DAO.UsuarioDAO.checkLogin",,3,,2
Public Method,"DAO.UsuarioDAO.del",,2,,1
Public Method,"DAO.UsuarioDAO.idAutoIncrement",,3,,2
Public Method,"DAO.UsuarioDAO.listAll",,3,,2
Public Method,"DAO.UsuarioDAO.listAllById",,3,,2
Public Method,"DAO.UsuarioDAO.listAllByName",,3,,2
